,name,categories,type,unit,database,"Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_1","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_1","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_1","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_3","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_3","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_3","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_4","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_4","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_4","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_5","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_5","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_5","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_6","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_6","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_6","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM2_2","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM3_6","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM3_6","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM3_6","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM3_5","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM3_5","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM3_5"
462,Picloram,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,1.5538487184951163e-18,1.869266221300417e-18,2.708566611299189e-18,1.478464443626301e-18,1.837299996876218e-18,2.7700422561692148e-18,4.247267399587994e-15,5.199592107633735e-15,7.71925382693944e-15,4.249805339812667e-15,5.253920538282211e-15,7.782322121414678e-15,2.5089997088728207e-15,2.9566514813555996e-15,4.410614567092554e-15,1.797057889329359e-15,2.039781074155505e-15,2.9267840038240134e-15,0.0,0.0,0.0,7.688945996663004e-16,8.195139077178178e-16,8.90149502101209e-16,1.3278288950693854e-15,1.4149634704590729e-15,1.5367824858955274e-15
463,Picoxystrobin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,1.5190640755172134e-16,1.8642640317267088e-16,2.757520210096842e-16,1.4423319384385773e-16,1.8081054438350377e-16,2.747857621051661e-16,8.012635265884072e-14,9.809460528216223e-14,1.4563332097837606e-13,8.017422852432292e-14,9.91199337089025e-14,1.4682421586458282e-13,4.733439070527493e-14,5.5781112428967375e-14,8.321393113828791e-14,2.1198253481884672e-10,5.332279384031202e-10,9.23777510171148e-08,0.0,0.0,0.0,9.855291646645428e-08,1.0274310966042573e-07,1.0840096078981307e-07,2.505472270968304e-14,2.66987667886944e-14,2.8997222241761745e-14
464,Piperonyl butoxide,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.817123975279372e-12,9.1803079044434e-12,2.072087153058592e-11,0.0,0.0,0.0,1.0877755450651819e-11,1.3351829591808995e-11,1.6942641339700645e-11,0.0,0.0,0.0
465,Pirimicarb,"('soil', 'agricultural')",emission,kilogram,biosphere3,8.429676118676109e-12,2.3341535074614523e-11,8.135106335260477e-09,1.6342873794793193e-12,1.970266024411988e-12,2.861372135804039e-12,1.5545823983991206e-12,1.9240271600612823e-12,2.8898667413223728e-12,2.8462716231348134e-12,8.629344654028266e-12,3.2250736809070026e-08,2.973849029620514e-12,9.01769224761687e-12,9.014255120342665e-10,2.72646377123705e-12,8.302341919991086e-12,9.121929324732377e-10,7.310601064440917e-12,1.5914372164989633e-11,9.224673315768787e-10,8.675390353578537e-09,9.043793158323918e-09,9.541167322239396e-09,9.747592898637892e-10,1.016714819538037e-09,1.073422911651023e-09,9.719966282026704e-10,1.0139518650053576e-09,1.0706831654498622e-09
466,Platinum,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,8.114310439839094e-15,1.83171341642603e-14,4.477013824055264e-14,1.1603709639425455e-15,4.1409179799626796e-15,1.3385868852303669e-14,6.274801253758263e-16,2.065762739699264e-15,4.931119629900535e-15,1.001607016868924e-15,3.253504678259567e-15,7.4452098087694e-15,8.298647631122e-17,6.920655809686793e-16,1.4125679348549237e-15,4.689466667616272e-16,1.1522773025436948e-15,6.176445658996653e-16,1.758092554493718e-16,5.201738626481484e-16,6.074850217976179e-16,3.6383691376314606e-14,3.793306896715296e-14,4.0045951009957703e-14,6.039733425169571e-16,6.292615374917834e-16,6.633977132405889e-16,5.990144702268957e-16,6.242342196868431e-16,6.58356583863945e-16
467,Polonium-210,"('air', 'urban air close to ground')",emission,kilo Becquerel,biosphere3,2.7543375990105407e-05,0.0001670678800239558,0.020706044038605587,0.0004111421885319471,0.0007747920766919659,0.020919021698825563,0.00021965297013297466,0.00034985347970992837,0.0012356149665650456,0.00022168402919458172,0.0003526780038244871,0.001230892744274853,0.00021675820537107976,0.0003385390330025733,0.0013503385542931786,0.00021278975767680702,0.0003227562897724705,0.0013289655741883053,0.00025185134756252405,0.0003552154063015712,0.0013581684291691782,0.0016617092376255468,0.001717036371915775,0.0017917387843925624,0.0004702251072568764,0.0004936245536451125,0.0005255756290298706,0.0004832786977261685,0.000507325293057419,0.0005401998571962192
468,Polychlorinated biphenyls,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.712791271739075e-15,4.821800436814123e-14,1.3875443941728382e-13,1.3536848234547947e-14,8.658669413985085e-14,1.9211461522162666e-13,1.232434303544099e-14,8.339104359119999e-14,1.8078095883276833e-13,1.2527028506478651e-14,8.386955523317932e-14,1.805704481554387e-13,1.1700069694687412e-14,9.089754045283558e-14,2.0420284926270882e-13,5.874761626119885e-11,1.0808293061804422e-10,2.0163083601732367e-10,7.00360616457997e-11,1.1987490139020485e-10,2.1509104846885692e-10,1.4223745832638631e-13,1.4806848865095054e-13,1.558620076184784e-13,1.2730278792285853e-10,1.3514591397207516e-10,1.4579904579079636e-10,1.268162571934028e-10,1.3472208532575472e-10,1.4545169281016018e-10
469,Potassium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.472541142472839e-05,5.6959362897877216e-05,3.720312414498456e-05,2.4186624890304434e-05,4.731370194737829e-05,6.75047864539308e-05,3.935125398672853e-05,9.187190985675353e-05,7.716639135428214e-05,5.2116259453372e-05,0.0001168347798265653,7.552732816549174e-05,0.0001345476690814062,0.0002930417983377858,7.664031085006937e-05,9.561377510756859e-05,0.00020848560532775462,7.31577674804953e-05,0.00011899052925824264,0.00025644475978708724,8.061728744071017e-05,2.9014592606981062e-05,3.0267623218798938e-05,3.1968323222584476e-05,6.195982618184084e-05,6.462722947369242e-05,6.824534250741624e-05,5.915613009873453e-05,6.169788877263603e-05,6.51514283806304e-05
470,"Potassium, ion","('water', 'ground-')",emission,kilogram,biosphere3,9.813075790479697e-05,0.00017249356099872088,0.0002806037646640573,9.120851218544324e-05,0.00011775254357189636,0.00014064630984851782,9.497217104257822e-05,0.00014801151399506467,0.0002124960350437217,9.50105781861586e-05,0.00014748449312994963,0.0002111728534563305,9.588286891257092e-05,0.00015127379124844337,0.00021345494415079384,9.655649057611715e-05,0.000151513918227726,0.00021235070018034555,2.5731326129509254e-05,5.75304482668756e-05,0.0001239477169715011,0.00017155767185076342,0.00017905192297908162,0.0001892793381815187,7.571950325973368e-05,7.902240819783064e-05,8.347350769035681e-05,0.0001026664399676595,0.00010731139752886442,0.00011361227628473146
471,Potassium-40,"('air', 'urban air close to ground')",emission,kilo Becquerel,biosphere3,4.374464702942835e-06,2.6534038204447842e-05,0.0027978474326894602,6.008409704829136e-05,0.00011184083705526635,0.0028299346986910287,3.448867190465699e-05,5.48084318487013e-05,0.0001790815704751748,3.481802858360955e-05,5.5260108236460575e-05,0.00017830375693733133,3.401726500868483e-05,5.2974992084729294e-05,0.00019753442734933249,3.3402197924145656e-05,5.052791140698589e-05,0.00019436376945799886,3.952062449105234e-05,5.561780611440458e-05,0.00019892666689657072,0.00023167228014286023,0.00023946034869564117,0.0002499759533236369,7.294434830039174e-05,7.657648605698412e-05,8.153777688736027e-05,7.499715162599563e-05,7.87304419392027e-05,8.383582670098282e-05
472,"Praseodymium, 0.42% in bastnasite, 0.042% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0,0.0,0.0733944569933066,3.143841039067342e-14,1.1349564065932126e-13,0.07339445699347937,2.9687510891770636e-14,1.1570697666086032e-13,0.07339445699347893,2.9180473657320456e-14,1.150595811551018e-13,0.07339445699347556,2.4854946593242884e-14,1.0944883866966964e-13,0.07339445699348557,2.5091936783346694e-14,1.0928463986934893e-13,0.07339445699348372,0.0,0.0,0.07339445699330661,0.06487737156494418,0.08181320726503143,0.10645158936581102,0.06487737156494416,0.08181320726503143,0.10645158936581105,0.06487737156503233,0.08181320726512377,0.10645158936590904
473,Primisulfuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,2.6598185126657352e-14,1.5438846672820813e-13,3.330103249468421e-13,2.484695668998434e-14,1.209602513343717e-13,2.254751958213128e-13,4.036771338669042e-14,1.5332640136139005e-13,2.264019340203176e-13,5.481234024303129e-15,8.75976298804988e-14,2.416243360006595e-13,4.343036066863306e-15,6.244673703898567e-14,1.7114923182082964e-13,1.513098001650995e-15,1.767336959977181e-14,4.2077592928375923e-14,0.0,0.0,0.0,3.638354837845523e-14,3.8095804475275564e-14,4.040596325636379e-14,1.7146118540376798e-13,1.7891336992835063e-13,1.8891284442547622e-13
474,Prochloraz,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,7.674041167456956e-12,9.251679049768575e-12,1.3436000933372341e-11,7.299774507252727e-12,9.034558029012497e-12,1.3569803032331043e-11,3.5516677875655805e-13,4.4250892822117306e-13,6.678229650734994e-13,3.553676163675629e-13,4.4841105359150316e-13,6.767767687171657e-13,3.1358048851718577e-13,9.414987951271108e-13,2.1822219421247255e-12,2.758789639426602e-12,3.432617721189511e-12,5.352889437763121e-12,0.0,0.0,0.0,2.0685283202123854e-12,2.185193544828856e-12,2.345811030113319e-12,1.8532424672565794e-12,1.9367365131728764e-12,2.049270916605901e-12
475,Procymidone,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,2.3128840380784255e-10,5.081038147316897e-10,1.5238391292818705e-10,2.936744598657706e-10,6.595185252665763e-10,2.394691897892732e-10,3.9243114974636054e-10,8.776461140139385e-10,2.5743092716380635e-10,1.698241912463971e-12,2.6441268429122417e-12,9.2024887783835e-11,1.6575828889415362e-12,2.4806808261037057e-12,9.025761621244144e-11,3.6730764625317266e-13,4.1995497637683146e-13,8.795058749027106e-13,0.0,0.0,0.0,4.574875785809851e-13,5.242917039745046e-13,6.204220375550203e-13,9.395797334956644e-11,9.838603126305582e-11,1.0441898977010923e-10
476,Profenofos,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,8.563328109126887e-12,1.9921130890946286e-11,3.768514072552713e-11,1.1612497605213346e-11,2.920583963507167e-11,3.9858238754562713e-11,1.469174219997029e-11,3.518587469018416e-11,4.078472377074496e-11,3.165346964756529e-11,7.134668626645926e-11,3.992512429724008e-11,2.2538686754651886e-11,5.144944501803497e-11,3.8872094531515977e-11,5.728770424833553e-10,1.2700019629131086e-09,7.558369251019946e-10,0.0,0.0,0.0,4.824144506149432e-10,5.11246223127237e-10,5.513738355424517e-10,2.6775578263969005e-11,2.8480365712926916e-11,3.086678271163551e-11
477,Prohexadione-calcium,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,9.36272273778046e-19,1.1263272379334161e-18,1.632048081336973e-18,8.90849443612518e-19,1.1070659743131473e-18,1.6690902596689631e-18,2.5591928679186303e-15,3.133016545940325e-15,4.651239839872741e-15,2.560722104935195e-15,3.165752166085333e-15,4.689241668870392e-15,1.511799047850791e-15,1.7815318505343693e-15,2.657618045702053e-15,1.08281814364853e-15,1.2290711219044923e-15,1.7635351875387314e-15,0.0,0.0,0.0,4.632978314228194e-16,4.937985211902832e-16,5.363600344499042e-16,8.00083974569527e-16,8.525869571895415e-16,9.259890667613517e-16
478,Prometryn,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,4.5961061515329516e-12,1.0692061669530836e-11,2.0226354160149543e-11,6.2326552248200885e-12,1.567534695739497e-11,2.1392698494376348e-11,7.885346193286268e-12,1.888494906030166e-11,2.1889961174086934e-11,1.6989037991962132e-11,3.829316587025659e-11,2.1428597277618537e-11,1.2096955241432143e-11,2.7613926239560346e-11,2.0863415548739178e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4370978014347479e-11,1.528597087487503e-11,1.6566807683824053e-11
479,Propamocarb HCl,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1439693106077771e-11,1.3434596327018985e-11,3.032322526161554e-11,0.0,0.0,0.0,1.591866579472884e-11,1.9539261935460604e-11,2.4794108158634015e-11,0.0,0.0,0.0
480,Propanal,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.5065358538128972e-10,4.0971803720805607e-10,1.637495115112847e-09,8.446891246801178e-11,2.9963930419637006e-10,2.337704741079992e-09,7.834142711784025e-11,2.801056666367884e-10,1.7276899105339131e-09,1.0930912857495521e-10,3.559787593248075e-10,1.5778749171149893e-09,3.9618551103814913e-11,2.0090154580563985e-10,2.0380327000923107e-09,4.005723348983426e-11,1.9849116811891552e-10,2.020747755756305e-09,9.709414688300072e-11,2.6927693418263303e-10,2.169208723833545e-09,1.4785737525088942e-09,1.6038270440815824e-09,1.7700564900952636e-09,2.174166292269916e-09,2.2875834034582138e-09,2.4446505423785766e-09,2.115334022901412e-09,2.2018832171248824e-09,2.319653882107119e-09
481,Propane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.2867826946188012e-05,8.423291649141395e-05,0.00021504196985228265,2.426040708243562e-05,9.337766867527255e-05,0.00023724885918530313,8.523452206664807e-06,5.926756754800394e-05,0.00022416867043045132,8.517092006629823e-06,5.8357982771618646e-05,0.00022260429894691686,7.894147002467449e-06,5.523730103014678e-05,0.00021615412274201938,8.862637490396959e-06,5.728448459563987e-05,0.0002186789218391673,3.713226481323451e-06,7.535258437079955e-06,2.2988728604189478e-05,0.00019275090564323702,0.0002132486127395239,0.00024280453579766785,1.8656559256101345e-05,2.0223968778475392e-05,2.2435795317209105e-05,0.00020780743219698454,0.00022983944049194226,0.0002615836270524035
482,Propanil,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.489744145804879e-11,9.169084556067243e-11,1.361229588783507e-10,7.494219638110093e-11,9.264886236292791e-11,1.3723505377118208e-10,7.380956840493617e-11,8.697840850721521e-11,1.2975071567150817e-10,7.21645585663814e-11,8.191157443897822e-11,1.1753094124264178e-10,0.0,0.0,0.0,3.0876447342075726e-11,3.290916555275525e-11,3.5745677483252897e-11,3.9061539671204595e-11,4.162483955903378e-11,4.5208477408596324e-11
483,Propanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.2111959255069803e-11,4.901651553156723e-11,7.4187738191883e-10,6.175480198658928e-11,1.257852801837563e-10,2.897046263081835e-09,4.446606428239355e-11,9.414707578192797e-11,1.8175968027063414e-09,5.7861863933779395e-11,1.2432247600154807e-10,1.4966242191282845e-09,2.364864787984426e-11,4.940941306689588e-11,2.3576914672211257e-09,2.2562708640573785e-11,4.677387875055066e-11,2.3411774146566246e-09,4.2570637992986796e-11,7.150462276626923e-11,1.9086548568327273e-09,7.572032302908336e-10,7.932486721327448e-10,8.424337712662185e-10,1.9777539395440633e-09,2.0708307106703985e-09,2.197702111863294e-09,2.4729937522907387e-09,2.5833532411177817e-09,2.7330958785690965e-09
